run,VENT_EASTING,VENT_NORTHING,VENT_ELEVATION,PLUME_HEIGHT,ALPHA,BETA,ERUPTION_MASS,MAX_GRAINSIZE,MIN_GRAINSIZE,MEDIAN_GRAINSIZE,STD_GRAINSIZE,EDDY_CONST,DIFFUSION_COEFFICIENT,FALL_TIME_THRESHOLD,LITHIC_DENSITY,PUMICE_DENSITY,COL_STEPS,PART_STEPS,PLUME_MODEL
0,457690.0,5770035.0,614.0,22992.630050059313,1.0,1.0,163525586189.05453,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
1,457690.0,5770035.0,614.0,32094.423092364574,1.0,1.0,195489132508.9635,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
2,457690.0,5770035.0,614.0,31181.84633623834,1.0,1.0,746488634710.488,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
3,457690.0,5770035.0,614.0,12923.433167693545,1.0,1.0,926817065307.3716,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
4,457690.0,5770035.0,614.0,23575.137452733587,1.0,1.0,321118822891.7518,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
5,457690.0,5770035.0,614.0,10445.338516081745,1.0,1.0,190051882129.10547,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
6,457690.0,5770035.0,614.0,21557.89464034303,1.0,1.0,160479548526.97058,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
7,457690.0,5770035.0,614.0,16676.13608636409,1.0,1.0,692897775968.8553,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
8,457690.0,5770035.0,614.0,30569.058857760385,1.0,1.0,179459648836.91132,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
9,457690.0,5770035.0,614.0,22101.594488878665,1.0,1.0,203381280733.89105,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
10,457690.0,5770035.0,614.0,16545.60339341575,1.0,1.0,244037930010.9673,7.0,10.0,1.7,2.5,0.04,4016.0,278.0,2700.0,1000.0,100.0,9.0,2.0
